metric,scenario,scenario_label,n_runs,last_window,last_mean,last_sd,last_ci95_low,last_ci95_high,last_median,last_min,last_max,delta_convention,delta_mean,delta_sd,delta_ci95_low,delta_ci95_high,delta_median,delta_min,delta_max
MEAN_LOCAL_CE_ACTIVATION,ce_off,Linear reference,100,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,final_minus_initial,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MEAN_LOCAL_CE_ACTIVATION,ce_light,Light CE,100,24,0.023672897244003534,0.010506307337944701,0.021613661005766373,0.025732133482240696,0.0184510922587416,0.01568221322664569,0.04903440616962387,final_minus_initial,0.024339575781346257,0.011328651437711751,0.022119160099554756,0.02655999146313776,0.018364968685437952,0.0155736560989255,0.0507724721466968
MEAN_LOCAL_CE_ACTIVATION,baseline,Baseline CE,100,24,0.0188237341480542,0.0007488616074544724,0.018676957272993122,0.018970511023115276,0.018849684630652015,0.017204429322042896,0.02119840136866197,final_minus_initial,0.018810695838070844,0.000785682934905795,0.01865670198282931,0.01896468969331238,0.0188026881059747,0.0170918468337121,0.0209785027790402
MEAN_LOCAL_CE_ACTIVATION,ce_strong,Targeted CE expansion,100,24,0.018802844894135334,0.0024510374519035234,0.018322441553562243,0.019283248234708426,0.018369709582227577,0.015707284659768433,0.03080100731597395,final_minus_initial,0.019065872495387395,0.002626681148855132,0.01855104299021179,0.019580702000563,0.01856066996021445,0.0157796616891395,0.0305718927856319
CEI_SIM,ce_off,Linear reference,100,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,final_minus_initial,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CEI_SIM,ce_light,Light CE,100,24,0.5635050255090303,0.0034782300356791702,0.5628232924220371,0.5641867585960234,0.563851315100472,0.5557981026877817,0.569661242011341,final_minus_initial,0.2702772522806555,0.0067409900325010865,0.26895601823428533,0.2715984863270257,0.2702791375809712,0.25508705164728773,0.28801136857865883
CEI_SIM,baseline,Baseline CE,100,24,0.618964728801878,0.00162609415407301,0.6186460143476797,0.6192834432560763,0.6190382934141894,0.6151843962086768,0.6234553182322193,final_minus_initial,0.31362955487529337,0.006059173346319615,0.31244195689941473,0.314817152851172,0.312915049708713,0.2987060964894478,0.3302528207444185
CEI_SIM,ce_strong,Targeted CE expansion,100,24,0.6415552173437423,0.001614118817641906,0.6412388500554845,0.6418715846320001,0.6416160988132029,0.6384451389683158,0.6448768912451132,final_minus_initial,0.29385217502773403,0.007417586588402178,0.2923983280564072,0.29530602199906086,0.2936952646890917,0.27787243467988026,0.31199725717837773
CE_MATERIAL_FLOW_NORM,ce_off,Linear reference,100,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,final_minus_initial,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CE_MATERIAL_FLOW_NORM,ce_light,Light CE,100,24,0.42623476473727245,0.004387830981334874,0.42537474986493085,0.42709477960961406,0.42638840448412163,0.4168039254529554,0.43692710545128727,final_minus_initial,0.2119620871344258,0.009003282775582573,0.2101974437104116,0.21372673055844,0.2116450415509974,0.18907609244195028,0.2397367455303157
CE_MATERIAL_FLOW_NORM,baseline,Baseline CE,100,24,0.44691704800313015,0.0026424816843781296,0.44639912159299205,0.44743497441326824,0.4470995175182847,0.4409900872154766,0.4538075357897499,final_minus_initial,0.22854425812548892,0.008195253861354288,0.2269379883686635,0.23015052788231435,0.22804818846282238,0.20771117101041867,0.2505150674995699
CE_MATERIAL_FLOW_NORM,ce_strong,Targeted CE expansion,100,24,0.4602547372395707,0.0026033023845579957,0.45974448997219736,0.4607649845069441,0.46042845790888765,0.4547611990568175,0.46656771541128617,final_minus_initial,0.2076036250462233,0.008450421137430466,0.20594734250328692,0.20925990758915966,0.20792499300192335,0.1881538579223923,0.22432876196396287
CE_REPAIR_VISIT_NORM,ce_off,Linear reference,100,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,final_minus_initial,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CE_REPAIR_VISIT_NORM,ce_light,Light CE,100,24,0.7694104166666668,0.004830262189339297,0.7684636852775563,0.7703571480557773,0.7693333333333334,0.7591979166666668,0.7800416666666666,final_minus_initial,0.35775,0.011075384481549239,0.35557922464161634,0.3599207753583837,0.35625,0.33299999999999996,0.3995
CE_REPAIR_VISIT_NORM,baseline,Baseline CE,100,24,0.8770362499999999,0.0010703341438884925,0.8768264645077977,0.877246035492202,0.8770468749999999,0.8743229166666667,0.8795729166666666,final_minus_initial,0.4412575,0.008797271658665746,0.4395332347549015,0.4429817652450985,0.439875,0.42174999999999996,0.46299999999999997
CE_REPAIR_VISIT_NORM,ce_strong,Targeted CE expansion,100,24,0.9135059375,0.001625015010479533,0.913187434557946,0.9138244404420539,0.913484375,0.9103333333333333,0.9183125,final_minus_initial,0.42322499999999996,0.01059221769779944,0.42114892533123127,0.42530107466876865,0.42324999999999996,0.39925,0.44949999999999996
TRADES_COUNT_M,ce_off,Linear reference,100,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,final_minus_initial,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TRADES_COUNT_M,ce_light,Light CE,100,24,3577.7970833333325,51.20182909540095,3567.761524830634,3587.832641836031,3576.0,3448.5833333333335,3683.9583333333335,final_minus_initial,1565.22,59.574175816728044,1553.5434615399213,1576.8965384600788,1567.0,1432.0,1721.0
TRADES_COUNT_M,baseline,Baseline CE,100,24,3886.2470833333327,4.620833940547602,3885.3413998809856,3887.15276678568,3885.958333333333,3874.0416666666665,3894.6666666666665,final_minus_initial,1820.54,38.99324468819095,1812.8973240411146,1828.1826759588853,1820.5,1730.0,1914.0
TRADES_COUNT_M,ce_strong,Targeted CE expansion,100,24,3995.7920833333333,13.118173355583806,3993.220921355639,3998.3632453110276,3997.604166666667,3956.25,4024.625,final_minus_initial,1721.39,42.21252028352334,1713.1163460244295,1729.6636539755707,1716.5,1600.0,1807.0
TRADES_MASS_M,ce_off,Linear reference,100,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,final_minus_initial,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TRADES_MASS_M,ce_light,Light CE,100,24,5114.817176847697,52.65397177602289,5104.496998379596,5125.137355315797,5116.660853809886,5001.647105435882,5243.125265415884,final_minus_initial,2543.545045613322,108.03939330699983,2522.36932452515,2564.720766701494,2539.7404986121796,2268.913109303592,2876.840946364028
TRADES_MASS_M,baseline,Baseline CE,100,24,5363.004576038008,31.709780212540107,5356.78945911635,5369.219692959666,5365.1942102198645,5291.881046586161,5445.690429477452,final_minus_initial,2742.5310975060966,98.34304633625962,2723.2558604241894,2761.8063345880037,2736.5782615540966,2492.534052125232,3006.1808099950904
TRADES_MASS_M,ce_strong,Targeted CE expansion,100,24,5523.056846875307,31.239628614698574,5516.933879666826,5529.179814083788,5525.141494907113,5457.134388682266,5598.812584935901,final_minus_initial,2491.243500554887,101.405053649174,2471.368110039649,2511.118891070125,2495.0999160232886,2257.846295068896,2691.9451435677784
REPAIRS_COUNT_M,ce_off,Linear reference,100,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,final_minus_initial,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REPAIRS_COUNT_M,ce_light,Light CE,100,24,3077.641666666667,19.321048757357232,3073.854741110225,3081.428592223109,3077.3333333333335,3036.7916666666665,3120.1666666666665,final_minus_initial,1431.0,44.3015379261969,1422.3168985664654,1439.6831014335346,1425.0,1332.0,1598.0
REPAIRS_COUNT_M,baseline,Baseline CE,100,24,3508.1450000000004,4.281336575553969,3507.3058580311917,3508.984141968809,3508.1875,3497.2916666666665,3518.2916666666665,final_minus_initial,1765.03,35.189086634663,1758.132939019606,1771.927060980394,1759.5,1687.0,1852.0
REPAIRS_COUNT_M,ce_strong,Targeted CE expansion,100,24,3654.0237499999994,6.50006004191815,3652.7497382317833,3655.2977617682154,3653.9375,3641.3333333333335,3673.25,final_minus_initial,1692.9,42.36887079119778,1684.5957013249254,1701.2042986750748,1693.0,1597.0,1798.0
SORT_DROPOFF_COUNT_M,ce_off,Linear reference,100,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,final_minus_initial,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SORT_DROPOFF_COUNT_M,ce_light,Light CE,100,24,3268.357916666667,51.25949314469368,3258.311056010307,3278.404777323027,3265.6458333333335,3139.9166666666665,3373.5833333333335,final_minus_initial,1257.27,59.70514334137504,1245.5677919050904,1268.9722080949095,1257.5,1125.0,1412.0
SORT_DROPOFF_COUNT_M,baseline,Baseline CE,100,24,3569.06875,4.206086154531087,3568.244357113712,3569.893142886288,3569.229166666667,3558.2916666666665,3578.125,final_minus_initial,1492.35,33.95760131205805,1485.6943101428365,1499.0056898571634,1490.5,1413.0,1559.0
SORT_DROPOFF_COUNT_M,ce_strong,Targeted CE expansion,100,24,3674.7283333333326,12.933407311739558,3672.1933855002317,3677.2632811664334,3676.25,3635.2916666666665,3703.75,final_minus_initial,1396.62,38.88672490371712,1388.9982019188712,1404.2417980811285,1392.0,1298.0,1489.0
BULKY_DROPOFF_COUNT_M,ce_off,Linear reference,100,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,final_minus_initial,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BULKY_DROPOFF_COUNT_M,ce_light,Light CE,100,24,309.4391666666667,1.4890101997164795,309.1473206675223,309.73101266581114,309.45833333333337,305.7083333333333,314.4166666666667,final_minus_initial,307.95,15.142671661582874,304.98203635432975,310.9179636456702,308.5,270.0,339.0
BULKY_DROPOFF_COUNT_M,baseline,Baseline CE,100,24,317.17833333333334,1.4942731117287307,316.8854558034345,317.47121086323216,317.1666666666667,313.7916666666667,321.25,final_minus_initial,328.19,18.089393622124586,324.6444788500636,331.7355211499364,330.0,287.0,378.0
BULKY_DROPOFF_COUNT_M,ce_strong,Targeted CE expansion,100,24,321.06375,1.417031234037531,320.78601187812865,321.3414881218714,321.2708333333333,317.7916666666667,323.875,final_minus_initial,324.77,16.4291284804235,321.54989081783697,327.990109182163,326.5,283.0,360.0
SORT_DROPOFF_MASS_M,ce_off,Linear reference,100,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,final_minus_initial,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SORT_DROPOFF_MASS_M,ce_light,Light CE,100,24,3798.7169891901785,51.664343233416986,3788.590777916429,3808.843200463928,3797.8417419667103,3689.8525776829324,3922.195967766877,final_minus_initial,1235.3283416975337,91.19885629981479,1217.45336586277,1253.2033175322974,1233.7185019313692,1027.1127198236372,1463.7156500022656
SORT_DROPOFF_MASS_M,baseline,Baseline CE,100,24,4040.1166262143593,28.35966167001694,4034.558132527036,4045.6751199016826,4041.0245987201843,3975.612429286259,4114.972387686388,final_minus_initial,1374.5231421184594,68.41644066423999,1361.1135197482683,1387.9327644886505,1382.482183369238,1222.9709291191289,1522.548575601204
SORT_DROPOFF_MASS_M,ce_strong,Targeted CE expansion,100,24,4191.453781850095,29.77408182834524,4185.61806181174,4197.28950188845,4192.344447557081,4117.4434557100185,4256.902216139441,final_minus_initial,1146.0724204659646,75.22790417055683,1131.3277512485354,1160.8170896833938,1147.446390302047,952.4881777893929,1327.7892298400625
BULKY_DROPOFF_MASS_M,ce_off,Linear reference,100,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,final_minus_initial,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BULKY_DROPOFF_MASS_M,ce_light,Light CE,100,24,1316.1001876575133,6.014421799223537,1314.9213609848655,1317.279014330161,1316.809867349149,1299.7966113557986,1335.3010580275525,final_minus_initial,1308.2167039157832,64.42790124049806,1295.5888352726456,1320.8445725589208,1309.4115226822132,1147.2739516533084,1440.033839858832
BULKY_DROPOFF_MASS_M,baseline,Baseline CE,100,24,1322.887949823645,6.242100184572891,1321.6644981874686,1324.1114014598213,1322.65495609469,1309.6410879441435,1340.861414678884,final_minus_initial,1368.0079553876321,75.92168633168792,1353.1273048666212,1382.888605908643,1374.00927600307,1195.8448206000069,1576.7916407505934
BULKY_DROPOFF_MASS_M,ce_strong,Targeted CE expansion,100,24,1331.6030650252108,5.797083143534953,1330.4668367290778,1332.7392933213437,1332.572840598723,1317.2560935968188,1343.2998434999686,final_minus_initial,1345.1710800889196,67.6865109978975,1331.9045239333316,1358.4376362445075,1356.5307397822592,1173.248150016204,1489.623799042705
UNEMPLOYMENT,ce_off,Linear reference,100,24,0.1,1.3947701538996772e-17,0.1,0.1,0.10000000000000002,0.10000000000000002,0.10000000000000002,final_minus_initial,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UNEMPLOYMENT,ce_light,Light CE,100,24,0.09154742461736454,5.217345053518751e-05,0.09153719862105963,0.09155765061366944,0.09154223027349287,0.09145508136982987,0.09166302845968326,final_minus_initial,-0.004054158784209829,0.00010111485048752057,-0.004073977294905383,-0.0040343402735142754,-0.004054187063714555,-0.00432017052867989,-0.003826305774709396
UNEMPLOYMENT,baseline,Baseline CE,100,24,0.0907155290679718,2.4391412311095677e-05,0.09071074835115882,0.09072030978478478,0.09071442559878712,0.09064817022651668,0.09077223405686981,final_minus_initial,-0.004704443323129403,9.08876001947977e-05,-0.004722257292767583,-0.004686629353491222,-0.004693725745630699,-0.0049537923111663,-0.0044805914473418085
UNEMPLOYMENT,ce_strong,Targeted CE expansion,100,24,0.09037667173984383,2.421178226462927e-05,0.09037192623051997,0.09038141724916769,0.09037575851780194,0.09032684663132325,0.09042332291547522,final_minus_initial,-0.004407782625416012,0.00011126379882603365,-0.004429590329985915,-0.004385974920846109,-0.004405428970336349,-0.004679958857675692,-0.004168086520198205
D_adv_exposure,ce_off,Linear reference,100,24,0.029933791797661428,0.000357625617324372,0.02986369717666585,0.030003886418657005,0.029903912705659987,0.02900138349180198,0.030932581595642633,final_minus_initial,0.0004492829271987629,0.0004034141215005964,0.000370213759384646,0.0005283520950128798,0.0003981756017478501,-0.0004240163150296024,0.0014804452761226009
D_adv_exposure,ce_light,Light CE,100,24,0.17737124907738316,0.008462720086424978,0.17571255594044388,0.17902994221432245,0.17518899767788934,0.1627873116641756,0.1949219494173,final_minus_initial,0.04639299476313167,0.008894219747118572,0.04464972769269643,0.04813626183356691,0.04654091191862565,0.028658600749867202,0.066832288467111
D_adv_exposure,baseline,Baseline CE,100,24,0.17011971537370024,0.0003443183665337829,0.17005222897385963,0.17018720177354085,0.17009709311089188,0.16917251992738458,0.1709918045004933,final_minus_initial,0.03174246931271452,0.0005332106681034259,0.031637960021766255,0.03184697860366279,0.03172505505666595,0.03073541485330039,0.033278817444062
D_adv_exposure,ce_strong,Targeted CE expansion,100,24,0.17451728730543503,0.0044981035350380415,0.17363565901256758,0.17539891559830248,0.17356068908225372,0.16290624508596416,0.18751014286820647,final_minus_initial,0.03246965103996785,0.006832396919279794,0.03113050124378901,0.033808800836146694,0.030531388949989538,0.018486592331364987,0.053003175346808706
D_adv_cell,ce_off,Linear reference,100,24,0.027136434811012595,0.0,0.027136434811012595,0.027136434811012595,0.027136434811012595,0.027136434811012595,0.027136434811012595,final_minus_initial,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D_adv_cell,ce_light,Light CE,100,24,0.16697705972407026,0.0015961426072023943,0.1666642157730586,0.16728990367508192,0.1668497161636452,0.1623142589409666,0.1704167913385537,final_minus_initial,0.0,0.0,0.0,0.0,0.0,0.0,0.0
